Id	Eng	Fr	Ar	Coll	Plur
1	animal	animal	bahIma	-	bahA'im
2	ashes	cendres	ramAd	-	armida
3	back	dos	Zahr	-	ZuhUr/aZhur
4	bark	écorce	qi$r	-	qu$Ur
5	belly	ventre	baTn	-	buTUn/abTun
6	bird	oiseau	Tair	-	TuyUr/aTyAr
7	blood	sang	dam	-	dimA'
8	bone	os	EaZm	-	aEZum/EiZAm
9	brother	frère	ax	-	ixwa/ixwAn
10	child	enfant	SabIy	-	Sibya/Sabya/SibyAn/SubyAn/aSbiya
11	clothing	vêtements	va<u:w>b	-	viyAb/avwAb
12	cloud	nuage	saHAba	saHAb	suHub/saHA'ib
13	day	jour	nahAr	-	anhur/nuhur
14	dog	chien	kalb	-	kilAb
15	dust	poussière	turAb	-	atriba/tirbAn
16	ear	oreille	u*un	-	A*An
17	earth	terre	arD	-	arADin/araDUn
18	egg	oeuf	baiDa	baiD	baiDAt/buyUD
19	eye	oeil	Eain	-	EuyUn/aEyun
20	fat	graisse	$aHm	-	$uHUm/$uHUmAt
21	father	père	ab	-	AbA'
22	feather	plume	rI$a	rI$	rI$At/riyA$/aryA$
23	fire	feu	nAr	-	nIrAn
24	fish	poisson	samaka	samak	simAk/asmAk
25	flower	fleur	zahra	zahr	zahrAt/zuhUr/azhur/azhAr/azAhir/azAhIr
26	fog	brouillard	sadIm	-	sudum
27	foot	pied	rijl	-	arjul
28	fruit	fruit	vamara	vamar	vamarAt/vimAr/avmAr
29	grass	herbe	Eu$ba	Eu$b	aE$Ab
30	guts	entrailles	Ha$an	-	aH$A'
31	hair	cheveux	$aEra	$aEr	$aEarAt/$uEUr
32	hand	main	yad	-	aidin/ayAdin
33	head	tête	ra's	-	ru'Us/ar'us
34	heart	coeur	qalb	-	qulUb
35	husband	mari	baEl	-	buEUl/buEUla
36	ice	glace	valj	-	vulUj
37	lake	lac	buHaira	-	buHairAt/baHA'ir
38	leaf	feuille	waraqa	waraq	aurAq
39	left	gauche	$imAl	-	-
40	leg	jambe	rijl	-	arjul
41	liver	foie	kabid	-	akbAd/kubUd
42	louse	pou	qamla	qaml	-
43	man (male human)	homme	rajul	-	rijAl
44	meat	viande	laHm	-	luHUm/liHAm
45	mother	mère	umm	-	ummahAt
46	mountain	montagne	jabal	-	jibAl/ajbAl
47	mouth	bouche	fam	-	afwAh
48	name	nom	ism	-	asmA'/asAmin
49	neck	cou	raqaba	-	raqabAt/riqAb
50	night	nuit	laila	lail	lailAt/layAlin/layA'il
51	nose	nez	Anf	-	AnAf/unUf
52	person	personne	*At	-	*awAt
53	rain	pluie	$itA'	-	a$tiya/$utIy
54	right	droite	yamIn	-	-
55	river	rivière	nahr	-	anhur/anhAr/nuhUr
56	road	route	TarIq	-	Turuq/TuruqAt
57	root	racine	Eirq	-	EurUq
58	rope	corde	Habl	-	HibAl/aHbul/HubUl/aHbAl
59	salt	sel	milH	-	amlAH/milAH
60	sand	sable	raml	-	rimAl
61	sea	mer	baHr	-	biHAr/buHUr/abHAr/abHur
62	seed	graine	ba*ra	ba*r	bu*Ur/bi*Ar
63	sister	soeur	uxt	-	axawAt
64	skin	peau	ba$ara	-	-
65	sky	ciel	samA'	-	samAwAt
66	smoke	fumée	duxAn	-	adxina
67	snake	serpent	Hayya	-	HayyAt
68	snow	neige	valj	-	vulUj
69	spear	lance	Harba	-	HirAb
70	star	étoile	kaukab	-	kawAkib
71	stick	bâton	EaSan	-	EuSIy/EiSIy/aESin
72	stone	pierre	Hajar	-	aHjAr/HijAra/HijAr
73	sun	soleil	$ams	-	$umUs
74	tongue	langue	lisAn	-	alsina/alsun
75	tooth	dent	sinn	-	asnAn/asinna/asunn
76	tree	arbre	$ajara	$ajar	$ajarAt/a$jAr
77	water	eau	mA'	-	miyAh/amwAh
78	wife	épouse	baEla	-	-
79	wind	vent	rIH	-	riyAH/arwAH/aryAH
80	wing	aile	janAH	-	ajniHa/ajnuH
81	woman	femme	imra'a	-	niswa/niswAn/nisA'
82	woods	forêt	Haraja	Haraj	HarajAt/HirAj/aHrAj
83	worm	ver	dUda	dUd	dIdAn
84	year	année	sana	-	sinUn/sanawAt
